ID_Lancamento;Data;AnoMes;ID_Conta;ID_CentroCusto;Valor_Realizado;Historico_Contabil
DOC-100002;2024-01-01;202401;1.01.001;CC4001;3781211.55;Lancamento Razao - 1.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100003;2024-01-04;202401;1.01.001;CC4001;2621636.77;Lancamento Razao - 1.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100004;2024-01-05;202401;1.01.001;CC4001;487100.53;Lancamento Razao - 1.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100005;2024-01-08;202401;1.01.001;CC4001;487018.46;Lancamento Razao - 1.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100006;2024-01-09;202401;1.01.001;CC4001;171835.04;Lancamento Razao - 1.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100007;2024-01-24;202401;1.01.001;CC4001;5775518.7;Lancamento Razao - 1.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100008;2024-01-27;202401;1.01.001;CC4001;2639267.46;Lancamento Razao - 1.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100009;2024-01-29;202401;1.01.001;CC4001;3535699.4;Lancamento Razao - 1.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100010;2024-01-31;202401;1.01.001;CC4001;59728.0;Lancamento Razao - 1.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100011;2024-01-01;202401;1.01.002;CC4001;2903373.13;Lancamento Razao - 1.01.002 - Ref 01/2024 - Planta Venancio Aires
DOC-100012;2024-01-02;202401;1.01.002;CC4001;1480401.44;Lancamento Razao - 1.01.002 - Ref 01/2024 - Planta Venancio Aires
DOC-100013;2024-01-03;202401;1.01.002;CC4001;197798.74;Lancamento Razao - 1.01.002 - Ref 01/2024 - Planta Venancio Aires
DOC-100014;2024-01-14;202401;1.01.002;CC4001;166301.25;Lancamento Razao - 1.01.002 - Ref 01/2024 - Planta Venancio Aires
DOC-100015;2024-01-18;202401;1.01.002;CC4001;167902.64;Lancamento Razao - 1.01.002 - Ref 01/2024 - Planta Venancio Aires
DOC-100016;2024-01-19;202401;1.01.002;CC4001;300611.43;Lancamento Razao - 1.01.002 - Ref 01/2024 - Planta Venancio Aires
DOC-100017;2024-01-24;202401;1.01.002;CC4001;616487.7;Lancamento Razao - 1.01.002 - Ref 01/2024 - Planta Venancio Aires
DOC-100018;2024-01-28;202401;1.01.002;CC4001;468656.54;Lancamento Razao - 1.01.002 - Ref 01/2024 - Planta Venancio Aires
DOC-100019;2024-01-29;202401;1.01.002;CC4001;285255.14;Lancamento Razao - 1.01.002 - Ref 01/2024 - Planta Venancio Aires
DOC-100020;2024-01-01;202401;1.01.003;CC4001;181546.83;Lancamento Razao - 1.01.003 - Ref 01/2024 - Planta Venancio Aires
DOC-100021;2024-01-08;202401;1.01.003;CC4001;239745.19;Lancamento Razao - 1.01.003 - Ref 01/2024 - Planta Venancio Aires
DOC-100022;2024-01-17;202401;1.01.003;CC4001;319957.17;Lancamento Razao - 1.01.003 - Ref 01/2024 - Planta Venancio Aires
DOC-100023;2024-01-18;202401;1.01.003;CC4001;808089.37;Lancamento Razao - 1.01.003 - Ref 01/2024 - Planta Venancio Aires
DOC-100024;2024-01-20;202401;1.01.003;CC4001;117033.79;Lancamento Razao - 1.01.003 - Ref 01/2024 - Planta Venancio Aires
DOC-100025;2024-01-08;202401;1.02.001;CC4001;143631.7;Lancamento Razao - 1.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100026;2024-01-14;202401;1.02.001;CC4001;178538.68;Lancamento Razao - 1.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100027;2024-01-18;202401;1.02.001;CC4001;9461.77;Lancamento Razao - 1.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100028;2024-01-21;202401;1.02.001;CC4001;186063.78;Lancamento Razao - 1.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100029;2024-01-23;202401;1.02.001;CC4001;37191.8;Lancamento Razao - 1.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100030;2024-01-01;202401;2.01.001;CC3001;118962.54;Lancamento Razao - 2.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100031;2024-01-06;202401;2.01.001;CC3001;59864.7;Lancamento Razao - 2.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100032;2024-01-09;202401;2.01.001;CC3001;13431.56;Lancamento Razao - 2.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100033;2024-01-19;202401;2.01.001;CC3001;70541.28;Lancamento Razao - 2.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100034;2024-01-25;202401;2.01.001;CC3001;3611.31;Lancamento Razao - 2.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100035;2024-01-26;202401;2.01.001;CC3001;247720.86;Lancamento Razao - 2.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100036;2024-01-28;202401;2.01.001;CC3001;30903.7;Lancamento Razao - 2.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100037;2024-01-03;202401;2.02.001;CC4001;26357.68;Lancamento Razao - 2.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100038;2024-01-04;202401;2.02.001;CC4001;9064.0;Lancamento Razao - 2.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100039;2024-01-05;202401;2.02.001;CC4001;17812.98;Lancamento Razao - 2.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100040;2024-01-07;202401;2.02.001;CC4001;19198.81;Lancamento Razao - 2.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100041;2024-01-09;202401;2.02.001;CC4001;4959.43;Lancamento Razao - 2.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100042;2024-01-11;202401;2.02.001;CC4001;84751.93;Lancamento Razao - 2.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100043;2024-01-14;202401;2.02.001;CC4001;36208.89;Lancamento Razao - 2.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100044;2024-01-25;202401;2.02.001;CC4001;68064.79;Lancamento Razao - 2.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100045;2024-01-30;202401;2.02.001;CC4001;54647.8;Lancamento Razao - 2.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100046;2024-01-02;202401;3.01.001;CC1001;315924.63;Lancamento Razao - 3.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100047;2024-01-04;202401;3.01.001;CC1001;743767.54;Lancamento Razao - 3.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100048;2024-01-09;202401;3.01.001;CC1001;157806.28;Lancamento Razao - 3.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100049;2024-01-12;202401;3.01.001;CC1001;1341814.94;Lancamento Razao - 3.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100050;2024-01-20;202401;3.01.001;CC1001;1678002.38;Lancamento Razao - 3.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100051;2024-01-28;202401;3.01.001;CC1001;1079366.96;Lancamento Razao - 3.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100052;2024-01-30;202401;3.01.001;CC1001;6016561.77;Lancamento Razao - 3.01.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100053;2024-01-03;202401;3.02.001;CC1002;40126.31;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100054;2024-01-04;202401;3.02.001;CC1002;29993.11;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100055;2024-01-10;202401;3.02.001;CC1002;71154.09;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100056;2024-01-13;202401;3.02.001;CC1002;13814.0;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100057;2024-01-15;202401;3.02.001;CC1002;147370.91;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100058;2024-01-18;202401;3.02.001;CC1002;7045.85;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100059;2024-01-20;202401;3.02.001;CC1002;394158.31;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100060;2024-01-21;202401;3.02.001;CC1002;134548.02;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100061;2024-01-30;202401;3.02.001;CC1002;20147.36;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100062;2024-01-02;202401;3.02.001;CC1003;207188.24;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100063;2024-01-03;202401;3.02.001;CC1003;10804.42;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100064;2024-01-07;202401;3.02.001;CC1003;62343.03;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100065;2024-01-08;202401;3.02.001;CC1003;17295.96;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100066;2024-01-10;202401;3.02.001;CC1003;279281.38;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100067;2024-01-12;202401;3.02.001;CC1003;137117.77;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100068;2024-01-19;202401;3.02.001;CC1003;56433.91;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100069;2024-01-22;202401;3.02.001;CC1003;9222.83;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100070;2024-01-23;202401;3.02.001;CC1003;52314.56;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
DOC-100071;2024-01-27;202401;3.02.001;CC1003;55239.48;Lancamento Razao - 3.02.001 - Ref 01/2024 - Planta Venancio Aires
